GROUP,CONAME,DIST,DISTNAME,DE120,DE220,DE320,DE420
D. K-8 / 751 +,BURLINGTON,3080,MEDFORD TWP,4244322,1509795,5754117,-147898
D. K-8 / 751 +,BURLINGTON,3430,MOUNT HOLLY TWP,3549921,1360123,4910044,945602
D. K-8 / 751 +,BURLINGTON,3440,MOUNT LAUREL TWP,8062448,1058624,9121072,1021695
D. K-8 / 751 +,BURLINGTON,4740,SHAMONG TWP,1334797,560253,1895064,322439
D. K-8 / 751 +,BURLINGTON,5130,TABERNACLE TWP,1500223,946212,2446435,167590
D. K-8 / 751 +,BURLINGTON,5720,WESTAMPTON,666049,426504,1092553,517390
D. K-8 / 751 +,CAMDEN,260,BELLMAWR BORO,1358822,949145,2242000,497135
D. K-8 / 751 +,CAMDEN,330,BERLIN BORO,864620,402899,1267519,425
D. K-8 / 751 +,CAMDEN,1780,GLOUCESTER TWP,15803505,4589623,20393128,1186302
D. K-8 / 751 +,CAMDEN,4590,RUNNEMEDE BORO,1105740,930763,2036503,702933
D. K-8 / 751 +,CAMDEN,5080,STRATFORD BORO,672455,181161,853616,100529
D. K-8 / 751 +,CAMDEN,5400,VOORHEES TWP,6069715,1728344,7791534,1049197
D. K-8 / 751 +,CAPE MAY,5340,UPPER TWP,3380155,2012699,5392854,26192
D. K-8 / 751 +,CUMBERLAND,5300,UPPER DEERFIELD TWP,1209253,553054,1762307,84131
D. K-8 / 751 +,GLOUCESTER,2750,LOGAN TWP,2422777,1147839,3570616,625274
D. K-8 / 751 +,HUDSON,1850,GUTTENBERG TOWN,919791,1196489,2116280,811537
D. K-8 / 751 +,HUNTERDON,920,CLINTON TWP,2265570,416915,2682485,-54050
D. K-8 / 751 +,HUNTERDON,1510,FLEMINGTON-RARITAN REG,4928976,1725379,6654355,210532
D. K-8 / 751 +,HUNTERDON,4350,READINGTON TWP,3942209,2499899,6442108,325952
D. K-8 / 751 +,MONMOUTH,945,COLTS NECK TWP,2239324,692687,2932011,2181777
D. K-8 / 751 +,MONMOUTH,1260,EATONTOWN BORO,3058784,657886,3716670,100226
D. K-8 / 751 +,MONMOUTH,1440,FAIR HAVEN BORO,1558096,427352,1977774,-30056
D. K-8 / 751 +,MONMOUTH,1640,FREEHOLD BORO,1732245,1072776,2805020,-67050
D. K-8 / 751 +,MONMOUTH,1660,FREEHOLD TWP,7454760,2207940,9662700,146968
D. K-8 / 751 +,MONMOUTH,2290,HOWELL TWP,8421820,5526574,13948394,860609
D. K-8 / 751 +,MONMOUTH,2720,LITTLE SILVER BORO,2146472,383212,2529684,-515347
D. K-8 / 751 +,MONMOUTH,2920,MANALAPAN-ENGLISHTOWN REG,7917170,3878614,11795784,195661
