GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31,ABBOTT
C. K-8 / 401 - 750,BURLINGTON,4930,SOUTHAMPTON TWP,13376,32,14597,40,15348,41,784,738,748,
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,11305,13,11740,11,12487,15,619,615,624,
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,13737,37,14025,35,12222,12,644,650,804,
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,13399,34,13647,29,13834,28,456,452,489,
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,12102,21,11809,12,13403,21,443,441,458,
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,10824,7,11668,10,12326,13,526,518,527,
C. K-8 / 401 - 750,CAMDEN,5900,WOODLYNNE BORO,10113,1,10904,6,10504,2,454,433,510,
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,15122,52,16078,56,15442,43,617,593,623,
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,12564,23,11988,14,11805,8,645,602,610,
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,11227,12,13872,30,11810,9,598,488,608,
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,10845,8,11564,9,12990,17,518,508,509,
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,11621,17,10362,2,11070,4,470,508,510,
C. K-8 / 401 - 750,CUMBERLAND,3050,MAURICE RIVER TWP,10800,6,10501,3,10579,3,393,436,447,
C. K-8 / 401 - 750,GLOUCESTER,1830,GREENWICH TWP,15557,57,15140,45,17980,60,514,514,506,
C. K-8 / 401 - 750,HUNTERDON,20,ALEXANDRIA TWP,15359,55,15744,53,16737,52,563,560,522,
C. K-8 / 401 - 750,HUNTERDON,370,BETHLEHEM TWP,14753,47,16143,57,16867,54,498,458,473,
C. K-8 / 401 - 750,HUNTERDON,1040,DELAWARE TWP,16413,62,17356,63,18957,63,425,412,415,
C. K-8 / 401 - 750,HUNTERDON,1160,EAST AMWELL TWP,14693,46,15284,47,16843,53,446,430,415,
C. K-8 / 401 - 750,HUNTERDON,2220,HOLLAND TWP,14565,44,15406,49,16572,51,649,622,589,
C. K-8 / 401 - 750,HUNTERDON,2600,LEBANON TWP,15026,51,15845,54,16064,48,734,708,721,
C. K-8 / 401 - 750,HUNTERDON,5180,TEWKSBURY TWP,14961,49,14940,44,16041,46,710,695,698,
C. K-8 / 401 - 750,HUNTERDON,5270,UNION TWP,13597,36,15901,55,16056,47,527,447,466,
C. K-8 / 401 - 750,MIDDLESEX,970,CRANBURY TWP,16033,60,16383,59,17460,57,575,552,558,
C. K-8 / 401 - 750,MIDDLESEX,2370,JAMESBURG BORO,10404,2,10871,5,8168,1,639,615,849,
C. K-8 / 401 - 750,MIDDLESEX,3220,MILLTOWN BORO,11156,11,12089,16,13931,31,657,644,630,
C. K-8 / 401 - 750,MONMOUTH,270,BELMAR BORO,12771,26,13051,25,13568,24,556,568,569,
C. K-8 / 401 - 750,MONMOUTH,560,BRIELLE BORO,11400,14,11883,13,13512,23,604,607,567,
