GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31
D. K-8 / 751 +,HUNTERDON,2600,LEBANON TWP,13513,79,14658,81,15755,85
D. K-8 / 751 +,HUNTERDON,4350,READINGTON TWP,13038,72,12939,67,13209,61
D. K-8 / 751 +,MONMOUTH,945,COLTS NECK TWP,13465,78,14291,79,15094,82
D. K-8 / 751 +,MONMOUTH,1260,EATONTOWN BORO,13704,81,14620,80,15550,84
D. K-8 / 751 +,MONMOUTH,1440,FAIR HAVEN BORO,10881,17,11169,16,11437,19
D. K-8 / 751 +,MONMOUTH,1640,FREEHOLD BORO,10385,10,11608,27,11567,25
D. K-8 / 751 +,MONMOUTH,1660,FREEHOLD TWP,11849,44,12401,52,12754,48
D. K-8 / 751 +,MONMOUTH,2290,HOWELL TWP,12136,55,12652,58,12262,43
D. K-8 / 751 +,MONMOUTH,2720,LITTLE SILVER BORO,12121,53,12578,56,13208,60
D. K-8 / 751 +,MONMOUTH,2920,MANALAPAN-ENGLISHTOWN REG,10659,14,11192,18,11580,26
D. K-8 / 751 +,MONMOUTH,3030,MARLBORO TWP,10947,19,11542,26,11904,32
D. K-8 / 751 +,MONMOUTH,3200,MILLSTONE TWP,11354,29,11389,19,12178,40
D. K-8 / 751 +,MONMOUTH,4360,RED BANK BORO,13236,75,14214,78,13713,72
D. K-8 / 751 +,MONMOUTH,4570,RUMSON BORO,11109,21,11869,36,12003,34
D. K-8 / 751 +,MONMOUTH,5185,TINTON FALLS,11975,46,11816,34,13170,59
D. K-8 / 751 +,MONMOUTH,5230,UNION BEACH,11368,30,12293,46,11143,13
D. K-8 / 751 +,MORRIS,820,CHESTER TWP,12026,49,13060,69,13440,66
D. K-8 / 751 +,MORRIS,1090,DENVILLE TWP,11382,31,11752,33,11616,27
D. K-8 / 751 +,MORRIS,1190,EAST HANOVER TWP,13004,70,13415,73,14004,77
D. K-8 / 751 +,MORRIS,1530,FLORHAM PARK BORO,13143,74,13554,74,13392,65
D. K-8 / 751 +,MORRIS,2000,HANOVER TWP,12409,66,13105,70,13973,76
D. K-8 / 751 +,MORRIS,2650,LINCOLN PARK BORO,11535,37,11843,35,11233,17
D. K-8 / 751 +,MORRIS,3100,MENDHAM TWP,13433,77,14200,77,13892,75
D. K-8 / 751 +,MORRIS,4000,LONG HILL TWP,12249,60,11883,37,12775,49
D. K-8 / 751 +,MORRIS,4490,ROCKAWAY TWP,14822,85,15508,86,14533,81
D. K-8 / 751 +,MORRIS,5520,WASHINGTON TWP,12052,50,12716,60,12899,52
D. K-8 / 751 +,MORRIS,5770,WHARTON BORO,12090,52,12306,48,13490,68
D. K-8 / 751 +,PASSAIC,1920,HALEDON BORO,9622,4,9847,3,10742,10
D. K-8 / 751 +,PASSAIC,2700,LITTLE FALLS TWP,11754,40,12346,49,12545,45
D. K-8 / 751 +,PASSAIC,4270,PROSPECT PARK BORO,9319,3,9854,4,10534,8
D. K-8 / 751 +,PASSAIC,4400,RINGWOOD BORO,12303,63,13014,68,13137,58
D. K-8 / 751 +,PASSAIC,5200,TOTOWA BORO,11133,22,11734,31,12306,44
