CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
5,1520,19805752,11392559,10996101,224510,171948,2740500,2444744,2120930,1817174,2980746,1754521,0,571017,0,1653,FLORENCE TWP,BURLINGTON,E. K-12 / 0 - 1800,3,DE,,1,BURLINGTON
5,1910,7357585,4712560,4524120,164440,24000,1017969,737166,870844,703977,682312,342312,0,42934,0,701,HAINESPORT TWP,BURLINGTON,C. K-8 / 401 - 750,2,FG,,1,BURLINGTON
5,2610,108792609,61444554,57329726,1208510,2906318,16494570,15036950,10047662,7564472,15762840,8666420,0,4782423,0,7331,LENAPE REGIONAL,BURLINGTON,H. 7-12 / 9-12,5,GH,,1,BURLINGTON
5,2850,19149051,11148528,10726930,361923,59675,2724260,2526267,2506788,2107993,2609136,1169442,0,160340,35000,1661,LUMBERTON TWP,BURLINGTON,D. K-8 / 751 +,2,FG,,1,BURLINGTON
5,2960,7943441,4714885,4576494,109000,29391,1259513,926324,992439,790474,973583,571001,0,0,0,694,MANSFIELD TWP,BURLINGTON,A. K-6,1,DE,,1,BURLINGTON
5,3010,26383644,16101143,15538427,412288,150428,3394048,2567546,2759654,2275384,3336382,1544147,0,637677,0,2058,MAPLE SHADE TWP,BURLINGTON,F. K-12 / 1801 - 3500,3,CD,,1,BURLINGTON
5,3070,6060952,3700441,3526736,81969,91736,827237,709754,782902,603362,708908,310332,0,41464,8000,578,MEDFORD LAKES BORO,BURLINGTON,C. K-8 / 401 - 750,2,I,,1,BURLINGTON
5,3080,37180114,22400463,21383345,645563,371555,4951847,4448370,4511482,3611402,4709523,2567983,0,73459,264390,3162,MEDFORD TWP,BURLINGTON,D. K-8 / 751 +,2,I,,1,BURLINGTON
5,3360,57835302,32443017,30291924,648947,1502146,9536612,7947902,4920168,4181704,5711059,2950317,0,1531737,0,4245,MOORESTOWN TWP,BURLINGTON,G. K-12 / 3501 +,3,I,,1,BURLINGTON
5,3430,15044168,9143858,8576494,213958,353406,2078527,1923214,1832342,1548600,1834748,1124104,0,154692,0,1083,MOUNT HOLLY TWP,BURLINGTON,D. K-8 / 751 +,2,B,,1,BURLINGTON
5,3440,53252243,34626724,33640724,738350,247650,6486702,5970587,5592175,4188818,5803141,3063986,0,237387,402056,4350,MOUNT LAUREL TWP,BURLINGTON,D. K-8 / 751 +,2,I,,1,BURLINGTON
5,3540,2482272,1562718,1460095,97623,5000,363499,255247,244286,196786,306769,81769,0,5000,0,168,NEW HANOVER TWP,BURLINGTON,B. K-8 / 0 - 400,2,B,,1,BURLINGTON
5,3650,19856865,12177183,11459896,483801,233486,2705943,2344233,2111146,1806408,2703284,1059225,0,106238,223550,1215,NORTH HANOVER TWP,BURLINGTON,A. K-6,1,CD,,1,BURLINGTON
5,3690,26858878,14328878,13581058,448020,299800,4463130,4086333,2988011,2541266,3944711,1928088,0,1081839,60000,1832,NORTHERN BURLINGTON REG,BURLINGTON,H. 7-12 / 9-12,4,DE,,1,BURLINGTON
5,3920,12181248,7298678,6940581,235709,122388,1727031,1484492,1322843,1079734,1390905,664797,0,425267,14000,968,PALMYRA BORO,BURLINGTON,E. K-12 / 0 - 1800,3,DE,,1,BURLINGTON
5,4050,92893894,55328201,52792807,1809931,725463,17257680,14521655,7884377,6975390,10503305,5859683,0,1071527,71553,4804,PEMBERTON TWP,BURLINGTON,G. K-12 / 3501 +,3,B,1,1,BURLINGTON
5,4320,26432689,14237515,12588962,1323053,325500,3091419,2677019,3616528,2903978,4110368,1719046,0,1309812,18000,2110,RANCOCAS VALLEY REGIONAL,BURLINGTON,H. 7-12 / 9-12,5,DE,,1,BURLINGTON
5,4450,17327179,10356773,9866100,275373,215300,2145956,1920397,1947924,1596031,2194263,1134892,0,630199,0,1405,RIVERSIDE TWP,BURLINGTON,E. K-12 / 0 - 1800,3,B,,1,BURLINGTON
5,4460,3358425,1914901,1829472,52100,33329,583036,523411,409107,322182,406517,149997,0,44864,13000,279,RIVERTON,BURLINGTON,B. K-8 / 0 - 400,2,GH,,1,BURLINGTON
