GROUP,CONAME,DIST,DISTNAME,FARAT0019,RK0019,FARAT0119,RK0119
D. K-8 / 751 +,HUNTERDON,2600,LEBANON TWP,21.7,7,16.2,49
D. K-8 / 751 +,HUNTERDON,4350,READINGTON TWP,16.2,59,18.9,20
D. K-8 / 751 +,MONMOUTH,945,COLTS NECK TWP,16.9,45,15.4,62
D. K-8 / 751 +,MONMOUTH,1260,EATONTOWN BORO,17.9,34,19.5,15
D. K-8 / 751 +,MONMOUTH,1440,FAIR HAVEN BORO,14.3,74,14.2,74
D. K-8 / 751 +,MONMOUTH,1640,FREEHOLD BORO,12.6,83,12,87
D. K-8 / 751 +,MONMOUTH,1660,FREEHOLD TWP,16,63,17.9,36
D. K-8 / 751 +,MONMOUTH,2290,HOWELL TWP,16.8,49,19.4,16
D. K-8 / 751 +,MONMOUTH,2720,LITTLE SILVER BORO,13.6,80,13.3,80
D. K-8 / 751 +,MONMOUTH,2920,MANALAPAN-ENGLISHTOWN REG,17.8,35,18.7,22
D. K-8 / 751 +,MONMOUTH,3030,MARLBORO TWP,18.3,33,18.9,20
D. K-8 / 751 +,MONMOUTH,3200,MILLSTONE TWP,15.5,66,16.4,46
D. K-8 / 751 +,MONMOUTH,4360,RED BANK BORO,11.9,85,19.3,17
D. K-8 / 751 +,MONMOUTH,4570,RUMSON BORO,22.3,4,28.3,3
D. K-8 / 751 +,MONMOUTH,5185,TINTON FALLS,16.9,45,18.6,24
D. K-8 / 751 +,MONMOUTH,5230,UNION BEACH,15,69,13.7,76
D. K-8 / 751 +,MORRIS,820,CHESTER TWP,18.5,29,17.3,40
D. K-8 / 751 +,MORRIS,1090,DENVILLE TWP,17.5,37,15.6,57
D. K-8 / 751 +,MORRIS,1190,EAST HANOVER TWP,15.7,64,18.1,32
D. K-8 / 751 +,MORRIS,1530,FLORHAM PARK BORO,17.5,37,14.7,67
D. K-8 / 751 +,MORRIS,2000,HANOVER TWP,16.6,51,16.1,52
D. K-8 / 751 +,MORRIS,2650,LINCOLN PARK BORO,17,44,15,63
D. K-8 / 751 +,MORRIS,3100,MENDHAM TWP,15.6,65,15.5,59
D. K-8 / 751 +,MORRIS,4000,LONG HILL TWP,18.7,26,18.2,31
D. K-8 / 751 +,MORRIS,4490,ROCKAWAY TWP,22.5,3,19.9,13
D. K-8 / 751 +,MORRIS,5520,WASHINGTON TWP,17.5,37,19.6,14
D. K-8 / 751 +,MORRIS,5770,WHARTON BORO,18.5,29,16.2,49
D. K-8 / 751 +,PASSAIC,1920,HALEDON BORO,31.3,1,31,1
D. K-8 / 751 +,PASSAIC,2700,LITTLE FALLS TWP,17.1,42,17.1,41
D. K-8 / 751 +,PASSAIC,4270,PROSPECT PARK BORO,20.3,11,18.6,24
D. K-8 / 751 +,PASSAIC,4400,RINGWOOD BORO,16.8,49,16.3,48
D. K-8 / 751 +,PASSAIC,5200,TOTOWA BORO,13,82,12.8,82
D. K-8 / 751 +,PASSAIC,5440,WANAQUE BORO,19.3,18,29.3,2
D. K-8 / 751 +,PASSAIC,5690,WOODLAND PARK,13.9,76,13.7,76
D. K-8 / 751 +,SOMERSET,510,BRANCHBURG TWP,19.1,23,22.6,6
D. K-8 / 751 +,SOMERSET,1810,GREEN BROOK TWP,19.2,21,22.6,6
D. K-8 / 751 +,SOMERSET,5470,WARREN TWP,23.2,2,22.9,4
D. K-8 / 751 +,SUSSEX,640,BYRAM TWP,16.1,60,18.1,32
D. K-8 / 751 +,SUSSEX,5100,SUSSEX-WANTAGE REGIONAL,19.8,14,17.5,38
D. K-8 / 751 +,UNION,3470,MOUNTAINSIDE BORO,16.3,55,16.4,46
D. K-8 / 751 +,WARREN,1785,GREAT MEADOWS REGIONAL,19.6,16,20.9,10
D. K-8 / 751 +,WARREN,1840,GREENWICH TWP,17.5,37,18.6,24
D. K-8 / 751 +,WARREN,2790,LOPATCONG TWP,18.7,26,18.5,27
E. K-12 / 0 - 1800,,,K-12 Average,15.4,,16,
E. K-12 / 0 - 1800,BERGEN,440,BOGOTA BORO,13.8,14,14.2,17
E. K-12 / 0 - 1800,BERGEN,990,CRESSKILL BORO,14.4,11,14.2,17
E. K-12 / 0 - 1800,BERGEN,1360,EMERSON BORO,10.1,43,10.8,42
E. K-12 / 0 - 1800,BERGEN,2080,HASBROUCK HEIGHTS BORO,13.6,17,15.9,6
E. K-12 / 0 - 1800,BERGEN,2620,LEONIA BORO,13.8,14,13.7,22
E. K-12 / 0 - 1800,BERGEN,3170,MIDLAND PARK BORO,13.8,14,15.3,10
E. K-12 / 0 - 1800,BERGEN,3600,NORTH ARLINGTON BORO,11,40,9.6,43
E. K-12 / 0 - 1800,BERGEN,3910,PALISADES PARK,13.2,22,13.3,25
E. K-12 / 0 - 1800,BERGEN,3940,PARK RIDGE BORO,11.6,37,11.3,36
E. K-12 / 0 - 1800,BERGEN,4610,SADDLE BROOK TWP,14.7,8,17.4,1
E. K-12 / 0 - 1800,BERGEN,5410,WALDWICK BORO,16.1,1,14.5,15
E. K-12 / 0 - 1800,BERGEN,5430,WALLINGTON BORO,8.7,45,9.6,43
E. K-12 / 0 - 1800,BERGEN,5830,WOOD-RIDGE BORO,15,5,13.6,23
E. K-12 / 0 - 1800,BURLINGTON,1520,FLORENCE TWP,15.3,4,15.1,12
E. K-12 / 0 - 1800,BURLINGTON,3920,PALMYRA BORO,11.3,38,12.6,27
E. K-12 / 0 - 1800,BURLINGTON,4450,RIVERSIDE TWP,14.7,8,14.2,17
E. K-12 / 0 - 1800,CAMDEN,150,AUDUBON BORO,14.5,10,14.6,14
E. K-12 / 0 - 1800,CAMDEN,1880,HADDON HEIGHTS BORO,12.7,24,12.4,28
E. K-12 / 0 - 1800,CAMDEN,3770,OAKLYN BORO,10.6,42,16.5,3
E. K-12 / 0 - 1800,CAPE MAY,5790,WILDWOOD CITY,14.8,7,16.4,4
