GROUP,CONAME,DIST,DISTNAME,pp3vv,stpct01vv,ltpct01vv,fdpct01vv,tupct01vv,fbpct01vv,otpct01vv,strat01vv,ssrat01vv,sarat01vv,pctsevv
H. 7-12 / 9-12,WARREN,3675,NORTH WARREN REGIONAL,15834,0.331,0.599,0.069,0.001,0,0,12.3,79.5,122.8,0.155
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,16351,0.393,0.529,0.078,0,0,0,9.7,73.3,95.3,0.163
G. K-12 / 3501 +,WARREN,4100,PHILLIPSBURG TOWN,18391,0.665,0.115,0.125,0.086,0,0.009,11.5,68.9,162.2,0.136
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,16621,0.224,0.713,0.063,0,0,0,11.8,75.7,116,0.098
I. CSSD,WARREN,5450,WARREN CO SPECIAL SERVICE,47122,0.076,0.118,0.006,0.799,0,0.001,4.6,10.9,37,1.000
J. VOC,WARREN,5460,WARREN COUNTY VOCATIONAL,20946,0.297,0.438,0.096,0.169,0,0,13.2,75.6,132.3,0.202
H. 7-12 / 9-12,WARREN,5465,WARREN HILLS REGIONAL,18543,0.313,0.573,0.068,0.046,0,0,12.8,88.6,129.9,0.176
A. K-6,WARREN,5480,WASHINGTON BORO,14051,0.336,0.542,0.113,0,0,0.009,11.4,104,183.7,0.159
A. K-6,WARREN,5530,WASHINGTON TWP,14316,0.367,0.563,0.07,0,0,0,12.7,68.9,162,0.131
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,15578,0.263,0.691,0.039,0,0.007,0,12.5,75.2,116,0.167
K. CHARTER,WARREN,7727,RIDGE AND VALLEY CS,14774,0.361,0.585,0.054,0,0,0,10.3,0,54.2,0.243
