GROUP,CONAME,DIST,DISTNAME,pp3vv,stpct01vv,ltpct01vv,fdpct01vv,tupct01vv,fbpct01vv,otpct01vv,strat01vv,ssrat01vv,sarat01vv,pctsevv
F. K-12 / 1801 - 3500,CAPE MAY,3780,OCEAN CITY,21374,0.118,0.528,0.021,0.334,0,0,10.5,80,174.8,0.147
A. K-6,CAPE MAY,4700,SEA ISLE CITY,25766,0.112,0.859,0.029,0,0,0,7.3,60,85.7,0.167
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,29790,0.084,0.831,0.018,0.061,0,0.006,5.1,40.7,61,0.033
D. K-8 / 751 +,CAPE MAY,5340,UPPER TWP,15848,0.302,0.619,0.054,0.025,0,0,12.6,79.3,209.6,0.098
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,27082,0.193,0.757,0.03,0.021,0,0,5.9,180,24,0.111
E. K-12 / 0 - 1800,CAPE MAY,5790,WILDWOOD CITY,25748,0.325,0.471,0.079,0.124,0,0.001,8,62.3,104.4,0.222
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,22727,0.168,0.789,0.034,0.008,0,0.001,9.4,66,148.5,0.167
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,19973,0.586,0.233,0.181,0,0,0,8.5,0,110,0.136
G. K-12 / 3501 +,CUMBERLAND,540,BRIDGETON CITY,17244,0.734,0.047,0.212,0.008,0,0,10.5,67.6,125.1,0.083
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,15197,0.663,0.129,0.208,0,0,0,11.6,96.6,169,0.114
J. VOC,CUMBERLAND,995,CUMBERLAND CO VOCATIONAL,11313,0.366,0.378,0.142,0.114,0,0,25,124.8,129.8,0.165
H. 7-12 / 9-12,CUMBERLAND,997,CUMBERLAND REGIONAL,19350,0.524,0.362,0.113,0,0,0.001,14.2,108.8,128.5,0.173
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,14875,0.459,0.426,0.114,0.001,0,0,12,213.9,192.5,0.101
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,18863,0.49,0.362,0.085,0.064,0,0,9.2,86,172,0.140
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,18288,0.69,0.11,0.2,0,0,0,11.2,107.9,120.9,0.106
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,19653,0.36,0.583,0.053,0.005,0,0,8.5,0,46.7,0.114
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,16017,0.464,0.402,0.117,0.016,0,0.001,12.6,79.3,139.7,0.121
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,14107,0.566,0.234,0.197,0.003,0,0,10.1,151,151,0.097
B. K-8 / 0 - 400,CUMBERLAND,3050,MAURICE RIVER TWP,14513,0.514,0.365,0.121,0,0,0,10.8,129.7,194.5,0.129
G. K-12 / 3501 +,CUMBERLAND,3230,MILLVILLE CITY,16967,0.703,0.103,0.142,0.052,0,0,11.9,83,148.2,0.174
