CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
3,3930,65523103,35776017,34205034,1521716,49267,9493126,8342954,7494462,6600012,11078208,5629173,0,1207855,306500,4014,PARAMUS BORO,BERGEN,G. K-12 / 3501 +,3,GH,,1,BERGEN
3,3940,21869189,12209274,11542368,474436,192470,4427576,3498826,2432773,2006440,2040603,940374,0,747483,29333,1256,PARK RIDGE BORO,BERGEN,E. K-12 / 0 - 1800,3,I,,1,BERGEN
3,3960,38136527,20761499,18186664,434763,2140072,6708169,5815639,3969531,3001446,4460402,2271177,0,2223543,95500,2064,PASCACK VALLEY REGIONAL,BERGEN,H. 7-12 / 9-12,5,I,,1,BERGEN
3,4300,40452719,21428110,19777015,924927,726168,6136232,5747057,4440208,3598887,5449423,2437623,0,2927658,236000,2285,RAMAPO-INDIAN HILL REG,BERGEN,H. 7-12 / 9-12,5,I,,1,BERGEN
3,4310,46929723,28758895,27920551,665636,172708,7736012,6221656,4402841,3427624,4760029,994368,0,1212832,142000,3001,RAMSEY BORO,BERGEN,F. K-12 / 1801 - 3500,3,I,,1,BERGEN
3,4370,29981023,19079879,18142192,495242,442445,4346472,4281134,2554989,1749318,2987755,1266041,0,889557,0,1797,RIDGEFIELD BORO,BERGEN,E. K-12 / 0 - 1800,3,DE,,1,BERGEN
3,4380,29634033,18139048,17778612,343871,16565,4772974,4677236,2956600,2328905,2663562,1442662,0,1049005,0,2320,RIDGEFIELD PARK TWP,BERGEN,F. K-12 / 1801 - 3500,3,DE,,1,BERGEN
3,4390,82030599,48253235,46032726,1386916,833593,14558129,12770516,7679924,6523164,8507459,323008,0,1297207,2600,5709,RIDGEWOOD VILLAGE,BERGEN,G. K-12 / 3501 +,3,J,,1,BERGEN
3,4405,24983374,14726732,13753128,434949,538655,3160683,2648106,3279245,2856835,2643704,1374533,0,1165278,0,1692,RIVER DELL REGIONAL,BERGEN,H. 7-12 / 9-12,4,I,,1,BERGEN
3,4410,14459978,9385745,8934004,192841,258900,2107268,1853833,1718431,1487381,1237552,743802,0,0,30000,1158,RIVER EDGE BORO,BERGEN,A. K-6,1,I,,1,BERGEN
3,4430,18367911,10788796,10214227,346182,228387,2743059,2186047,2577744,2038257,2129763,1123001,0,128549,49000,1326,RIVER VALE TWP,BERGEN,D. K-8 / 751 +,2,I,,1,BERGEN
3,4470,6545328,4288357,4159603,61054,67700,850870,693739,714111,561911,637054,316204,20000,32735,0,453,ROCHELLE PARK TWP,BERGEN,C. K-8 / 401 - 750,2,FG,,1,BERGEN
3,4600,33288316,20412984,19074305,846992,491687,3978483,3705423,3799410,3009675,4196641,1808065,0,830569,7500,2488,RUTHERFORD BORO,BERGEN,F. K-12 / 1801 - 3500,3,GH,,1,BERGEN
3,4610,23950926,13320610,12677005,401426,242179,4235819,3436908,2623517,2041140,3149326,1530403,0,580109,137433,1713,SADDLE BROOK TWP,BERGEN,E. K-12 / 0 - 1800,3,DE,,1,BERGEN
3,4620,4868003,2532472,2405022,69750,57700,1404654,1070204,451002,354102,436424,205444,0,39395,0,233,SADDLE RIVER BORO,BERGEN,A. K-6,1,J,,1,BERGEN
3,4870,4400998,2350615,2150985,67350,132280,796429,473904,441030,357284,731765,444765,0,67609,0,243,SOUTH HACKENSACK TWP,BERGEN,B. K-8 / 0 - 400,2,CD,,1,BERGEN
