CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM
ESSEX,1750,GLEN RIDGE BORO,28183555,1923.2,14655,6,29610732,1648.5,17963,50,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
ESSEX,2330,IRVINGTON TOWNSHIP,169461673,7997,21191,95,176272196,7692.8,22914,97,"N. K-12|K-12,3500+",NK-12K-123500plus
ESSEX,2730,LIVINGSTON TWP,103102060,5862.2,17588,64,108811825,5855,18584,70,"N. K-12|K-12,3500+",NK-12K-123500plus
ESSEX,3190,MILLBURN TWP,86103414,4950.9,17392,63,88203350,4933.8,17877,57,"N. K-12|K-12,3500+",NK-12K-123500plus
ESSEX,3310,MONTCLAIR TOWN,120045805,6742,17806,71,121599322,6711.5,18118,60,"N. K-12|K-12,3500+",NK-12K-123500plus
ESSEX,3570,NEWARK CITY,962229754,44331,21706,98,1003365545,43322.4,23160,100,"N. K-12|K-12,3500+",NK-12K-123500plus
ESSEX,3630,NORTH CALDWELL BORO,11695480,678,17249,38,12709150,681.5,18650,44,A. K-6|K-6,AK-6K-6
ESSEX,3750,NUTLEY TOWN,63791836,3999.3,15951,38,65174324,4005.5,16271,32,"N. K-12|K-12,3500+",NK-12K-123500plus
ESSEX,3880,CITY OF ORANGE TWP,100412081,5299.3,18948,85,112895564,5394.8,20927,91,"N. K-12|K-12,3500+",NK-12K-123500plus
ESSEX,4530,ROSELAND BORO,8415663,511.5,16454,30,8871027,498.9,17780,38,A. K-6|K-6,AK-6K-6
ESSEX,4900,SOUTH ORANGE-MAPLEWOOD,118450174,6619,17895,73,120448740,6651.7,18108,59,"N. K-12|K-12,3500+",NK-12K-123500plus
ESSEX,5370,VERONA BORO,33140208,2185.8,15161,14,34591059,2237.7,15458,11,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
ESSEX,5630,WEST ESSEX REGIONAL,37479633,1612.1,23249,41,37845506,1640.1,23075,41,"F. G7-12|7-12,9-12",FG7-127-129-12
ESSEX,5680,WEST ORANGE TOWN,144436017,6801.4,21236,96,145149314,6894.3,21053,93,"N. K-12|K-12,3500+",NK-12K-123500plus
ESSEX,6016,ADELAIDE L. SANFORD CHARTER SCHOOL,4468849,286.7,15587,41,4493910,326.7,13755,17,O. CHARTER,OCHARTER
ESSEX,6020,PRIDE ACADEMY CHARTER SCHOOL,3746188,238.8,15690,44,4801693,239.4,20057,65,O. CHARTER,OCHARTER
ESSEX,6022,BURCH CHARTER SCHOOL OF EXCELLENCE,2563991,212.5,12066,11,3648318,264.4,13798,19,O. CHARTER,OCHARTER
ESSEX,6029,NEWARK EDUCATORS CHARTER SCHOOL,3794522,248.7,15255,35,4896998,280.4,17461,52,O. CHARTER,OCHARTER
ESSEX,6037,NEWARK LEGACY CHARTER SCHOOL,1932374,116,16658,52,2913839,171.1,17028,48,O. CHARTER,OCHARTER
ESSEX,6038,VISIONS ACADEMY CHARTER HIGH SCHOOL,2388690,147.3,16216,48,4063762,266.3,15260,28,O. CHARTER,OCHARTER
ESSEX,6320,DISCOVERY CHARTER SCHOOL,1290275,75,17204,55,1337408,75,17832,55,O. CHARTER,OCHARTER
ESSEX,6410,EAST ORANGE COMMUNITY CHARTER SCHOOL,7745384,489.9,15811,45,8341890,486.9,17132,50,O. CHARTER,OCHARTER
ESSEX,6665,GRAY CHARTER SCHOOL,4485067,270.4,16588,50,4755642,268.3,17725,54,O. CHARTER,OCHARTER
ESSEX,7100,LADY LIBERTY ACADEMY CHARTER SCHOOL,7452532,453.7,16426,49,8383151,459,18264,57,O. CHARTER,OCHARTER
ESSEX,7210,MARION P. THOMAS CHARTER SCHOOL,9439988,546.1,17287,56,10664938,652.1,16356,42,O. CHARTER,OCHARTER
ESSEX,7280,GREATER NEWARK CHARTER SCHOOL,2433177,168.1,14475,27,2703390,166,16285,40,O. CHARTER,OCHARTER
ESSEX,7290,NEW HORIZONS COMMUNITY CHARTER SCHOOL,7279967,451.3,16132,47,10181236,454,22426,68,O. CHARTER,OCHARTER
ESSEX,7320,NORTH STAR ACADEMY CHARTER SCHOOL OF NEW,21201050,1256.1,16878,53,30998597,1677,18485,58,O. CHARTER,OCHARTER
ESSEX,7325,TEAM ACADEMY CHARTER SCHOOL,23278752,1279,18200,62,29490005,1482.5,19892,63,O. CHARTER,OCHARTER
ESSEX,7730,ROBERT TREAT ACADEMY CHARTER SCHOOL,8054535,524.9,15345,36,8783961,550.2,15964,36,O. CHARTER,OCHARTER
ESSEX,7735,MARIA L. VARISCO-ROGERS CHARTER SCHOOL,4946609,366,13515,17,6912418,468.1,14767,23,O. CHARTER,OCHARTER
ESSEX,8065,UNIVERSITY HEIGHTS CHARTER SCHOOL,3714753,223.2,16641,51,4307976,286.7,15027,26,O. CHARTER,OCHARTER
GLOUCESTER,860,CLAYTON BORO,21961937,1376,15961,20,22462689,1503,14945,6,"L. K-12|K-12,0-1800",LK-12K-120-1800
GLOUCESTER,870,CLEARVIEW REGIONAL,36235200,2536.3,14287,2,36474038,2515.3,14501,2,"F. G7-12|7-12,9-12",FG7-127-129-12
GLOUCESTER,1100,DEPTFORD TWP,65973680,4440.4,14858,15,67414856,4428.9,15221,13,"N. K-12|K-12,3500+",NK-12K-123500plus
GLOUCESTER,1180,EAST GREENWICH TWP,13209369,1013.6,13032,2,13797518,1119.7,12322,1,A. K-6|K-6,AK-6K-6
GLOUCESTER,1330,ELK TWP,5435152,389.2,13966,13,5890395,399,14764,11,A. K-6|K-6,AK-6K-6
GLOUCESTER,1590,FRANKLIN TWP,19012782,1440.2,13201,3,19879893,1405.2,14148,9,A. K-6|K-6,AK-6K-6
GLOUCESTER,1715,GATEWAY REGIONAL,18976992,865.4,21930,40,19613421,909.9,21556,34,"F. G7-12|7-12,9-12",FG7-127-129-12
GLOUCESTER,1730,GLASSBORO,39237022,2277.5,17228,46,40288560,2278.5,17682,45,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
GLOUCESTER,1774,GLOUCESTER CO SPEC SERV,33280634,692.5,48060,2,34531275,730.2,47292,2,P. CSSD,PCSSD
GLOUCESTER,1775,GLOUCESTER CO VOCATIONAL,22898397,1233.1,18569,8,24069626,1246.5,19310,7,Q. COUNTY VOC,QCOUNTYVOC
GLOUCESTER,1830,GREENWICH TWP,11889709,618.2,19233,57,12267497,618,19849,54,"J. K-12|K-8,401-750",JK-12K-8401-750
GLOUCESTER,2070,HARRISON TWP,19986552,1501.7,13309,6,20741406,1491.3,13908,5,A. K-6|K-6,AK-6K-6
GLOUCESTER,2440,KINGSWAY REGIONAL,30417931,2266.1,13423,1,32704890,2287.3,14298,1,"F. G7-12|7-12,9-12",FG7-127-129-12
GLOUCESTER,2750,LOGAN TWP,18631520,1218.7,15289,34,18782261,1198,15679,30,"K. K-12|K-8,751+",KK-12K-8751plus
GLOUCESTER,2990,MANTUA TWP,20936592,1441,14529,17,21701459,1402.8,15470,19,A. K-6|K-6,AK-6K-6
GLOUCESTER,3280,MONROE TWP,85513867,6132.8,13944,3,89001539,6082.3,14633,8,"N. K-12|K-12,3500+",NK-12K-123500plus
GLOUCESTER,3490,NATIONAL PARK BORO,4358175,292.9,14881,19,4432387,273.1,16231,24,A. K-6|K-6,AK-6K-6
GLOUCESTER,4020,PAULSBORO BORO,22174084,1271.6,17438,33,23097786,1247.6,18514,33,"L. K-12|K-12,0-1800",LK-12K-120-1800
GLOUCESTER,4140,PITMAN BORO,24433501,1578.8,15476,12,25497015,1558,16365,17,"L. K-12|K-12,0-1800",LK-12K-120-1800
GLOUCESTER,4880,SOUTH HARRISON TWP,5015990,377.7,13282,5,5076466,372.3,13634,4,A. K-6|K-6,AK-6K-6
GLOUCESTER,4940,DELSEA REGIONAL H.S DIST.,29944467,1783.3,16791,10,30646941,1750.5,17507,8,"F. G7-12|7-12,9-12",FG7-127-129-12
GLOUCESTER,5120,SWEDESBORO-WOOLWICH,23866370,1757.7,13578,8,24202115,1737.4,13930,6,A. K-6|K-6,AK-6K-6
GLOUCESTER,5500,WASHINGTON TWP,140729092,8433.9,16686,51,141694712,8235.6,17205,46,"N. K-12|K-12,3500+",NK-12K-123500plus
GLOUCESTER,5590,WENONAH BORO,3201746,254.3,12593,1,3277515,247.1,13262,2,A. K-6|K-6,AK-6K-6
GLOUCESTER,5620,WEST DEPTFORD TWP,44879273,3148.9,14252,4,46967019,3097.4,15163,6,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
GLOUCESTER,5740,WESTVILLE BORO,5521961,338.6,16309,28,5685074,356.3,15956,23,A. K-6|K-6,AK-6K-6
GLOUCESTER,5860,WOODBURY CITY,28625607,1557.9,18374,35,29091287,1533.6,18970,36,"L. K-12|K-12,0-1800",LK-12K-120-1800
GLOUCESTER,5870,WOODBURY HEIGHTS BORO,3581873,233.4,15347,23,3468322,227.7,15230,15,A. K-6|K-6,AK-6K-6
