GROUP,CONAME,DIST,DISTNAME,SSRAT0017,RK0017,SALS0017,RKSAL0017,SSRAT0117,RK0117,SALS0117,RKSAL0117
C. K-8 / 401 - 750,HUNTERDON,5180,TEWKSBURY TWP,78.7,33,69513,50,71.8,43,70796,51
C. K-8 / 401 - 750,HUNTERDON,5270,UNION TWP,64.4,57,66095,44,60.9,52,69295,47
C. K-8 / 401 - 750,MIDDLESEX,970,CRANBURY TWP,77.6,39,62250,38,80.3,33,64000,39
C. K-8 / 401 - 750,MIDDLESEX,3220,MILLTOWN BORO,85.8,26,57368,22,82.2,29,57368,23
C. K-8 / 401 - 750,MONMOUTH,270,BELMAR BORO,83.6,28,64300,40,66.7,46,66100,43
C. K-8 / 401 - 750,MONMOUTH,560,BRIELLE BORO,88.2,23,59835,33,88.8,21,64110,40
C. K-8 / 401 - 750,MONMOUTH,3500,NEPTUNE CITY,100,12,40814,1,130,4,45580,2
C. K-8 / 401 - 750,MONMOUTH,3830,OCEANPORT BORO,80.2,32,58400,29,80.8,31,58400,26
C. K-8 / 401 - 750,MONMOUTH,4770,SHREWSBURY BORO,69.9,50,52175,11,61.5,51,69404,49
C. K-8 / 401 - 750,MONMOUTH,5230,UNION BEACH,91.9,19,75695,58,90.8,19,77209,60
C. K-8 / 401 - 750,MONMOUTH,5640,WEST LONG BRANCH BORO,113.2,6,62768,39,142.9,3,66120,44
C. K-8 / 401 - 750,MORRIS,460,BOONTON TWP,97.4,13,84363,63,83.4,27,10740,1
C. K-8 / 401 - 750,MORRIS,3090,MENDHAM BORO,132,3,55500,18,76.6,38,56862,21
C. K-8 / 401 - 750,MORRIS,3380,MORRIS PLAINS BORO,104.7,11,57777,24,123,6,61652,34
C. K-8 / 401 - 750,MORRIS,4480,ROCKAWAY BORO,218.8,1,68553,48,167,1,56248,19
C. K-8 / 401 - 750,OCEAN,2500,LAKEHURST BORO,105.6,9,57820,25,118.3,7,56525,20
C. K-8 / 401 - 750,PASSAIC,420,BLOOMINGDALE BORO,64.3,58,71746,52,65.4,47,72750,53
C. K-8 / 401 - 750,PASSAIC,3640,NORTH HALEDON BORO,72.8,46,71941,53,85.1,26,73825,56
C. K-8 / 401 - 750,SALEM,60,ALLOWAY TWP,85,27,68462,47,99.5,12,69389,48
C. K-8 / 401 - 750,SOMERSET,240,BEDMINSTER TWP,51.8,63,64505,41,46,63,64505,41
C. K-8 / 401 - 750,SOMERSET,4850,SOUTH BOUND BROOK,74.8,43,73798,55,71.9,42,73798,55
C. K-8 / 401 - 750,SOMERSET,5540,WATCHUNG BORO,76.3,40,75600,57,78.7,35,78943,62
C. K-8 / 401 - 750,SUSSEX,90,ANDOVER REG,96,14,75003,56,,,,
C. K-8 / 401 - 750,SUSSEX,1560,FRANKFORD TWP,90.2,21,88700,64,74.6,40,70248,50
C. K-8 / 401 - 750,SUSSEX,1570,FRANKLIN BORO,71.6,49,83580,62,70,44,83580,63
C. K-8 / 401 - 750,SUSSEX,1800,GREEN TWP,105.6,9,55330,17,108.4,9,57685,25
C. K-8 / 401 - 750,WARREN,30,ALLAMUCHY TWP,92,18,46828,2,87.8,23,47560,3
D. K-8 / 751 +,,,K-8 Average,78.9,,66095,,76.9,,65508,
D. K-8 / 751 +,ATLANTIC,10,ABSECON CITY,166.8,1,73332,57,115.5,6,64372,33
D. K-8 / 751 +,ATLANTIC,570,BRIGANTINE CITY,69.8,66,81976,77,77.2,44,83072,79
D. K-8 / 751 +,ATLANTIC,1690,GALLOWAY TWP,84.9,34,59495,13,81.7,33,66871,39
D. K-8 / 751 +,ATLANTIC,1940,HAMILTON TWP,114.4,8,74371,60,98.5,16,70198,53
D. K-8 / 751 +,ATLANTIC,2680,LINWOOD CITY,78.8,46,55109,4,74.2,55,57593,5
D. K-8 / 751 +,ATLANTIC,3720,NORTHFIELD CITY,93.3,23,75159,62,90.4,23,71327,58
D. K-8 / 751 +,ATLANTIC,4800,SOMERS POINT CITY,79.4,44,63452,25,74.4,54,64162,32
D. K-8 / 751 +,ATLANTIC,5350,VENTNOR CITY,100.6,16,69827,52,96.9,18,77387,69
D. K-8 / 751 +,BERGEN,40,ALLENDALE BORO,102.7,13,79605,71,62.3,73,71115,56
D. K-8 / 751 +,BERGEN,930,CLOSTER BORO,76.3,52,80062,73,80.2,36,83031,78
D. K-8 / 751 +,BERGEN,1230,EAST RUTHERFORD BORO,73.7,56,99797,88,61.9,75,96000,87
D. K-8 / 751 +,BERGEN,1470,FAIRVIEW BORO,134.1,4,63575,26,134.9,3,57075,3
D. K-8 / 751 +,BERGEN,1580,FRANKLIN LAKES BORO,55.7,85,62906,23,42.6,87,60170,13
D. K-8 / 751 +,BERGEN,2180,HILLSDALE BORO,79.9,42,73641,59,70.7,61,76739,67
D. K-8 / 751 +,BERGEN,2710,LITTLE FERRY BORO,116.8,5,75437,63,128,5,81990,76
D. K-8 / 751 +,BERGEN,3060,MAYWOOD BORO,101.6,15,60625,17,93.9,20,61200,18
D. K-8 / 751 +,BERGEN,3330,MONTVALE BORO,97.7,18,69502,50,97.7,17,69502,49
D. K-8 / 751 +,BERGEN,3760,OAKLAND BORO,57.9,84,84048,82,53.7,84,84557,81
D. K-8 / 751 +,BERGEN,3850,OLD TAPPAN BORO,85.7,31,89131,85,83.9,30,89131,84
D. K-8 / 751 +,BERGEN,4430,RIVER VALE TWP,113.3,9,77030,66,78.3,41,61540,19
D. K-8 / 751 +,BERGEN,5330,UPPER SADDLE RIVER BORO,71,61,64000,28,446.3,1,57000,2
D. K-8 / 751 +,BERGEN,5880,WOODCLIFF LAKE BORO,72.6,59,62819,22,52,85,66950,40
D. K-8 / 751 +,BERGEN,5920,WYCKOFF TWP,65.7,73,83055,80,65.1,68,90456,85
D. K-8 / 751 +,BURLINGTON,1280,EDGEWATER PARK TWP,85.9,30,69183,46,83.1,31,58990,9
D. K-8 / 751 +,BURLINGTON,1420,EVESHAM TWP,79.1,45,69150,45,71,60,70285,54
D. K-8 / 751 +,BURLINGTON,2850,LUMBERTON TWP,64.6,74,64450,29,58.2,79,64100,31
D. K-8 / 751 +,BURLINGTON,3080,MEDFORD TWP,70.1,64,70150,53,69.8,63,69070,47
D. K-8 / 751 +,BURLINGTON,3430,MOUNT HOLLY TWP,70,65,81043,75,74.8,51,82428,77
D. K-8 / 751 +,BURLINGTON,3440,MOUNT LAUREL TWP,71.2,60,67500,42,63.5,72,67167,41
D. K-8 / 751 +,BURLINGTON,4740,SHAMONG TWP,81.8,39,77980,69,,,,
D. K-8 / 751 +,BURLINGTON,4930,SOUTHAMPTON TWP,78.1,47,62200,19,76.7,46,62200,24
D. K-8 / 751 +,BURLINGTON,5130,TABERNACLE TWP,60.9,81,59816,15,60.7,77,63148,27
D. K-8 / 751 +,BURLINGTON,5720,WESTAMPTON,108.8,12,74651,61,91.7,22,75249,65
D. K-8 / 751 +,CAMDEN,260,BELLMAWR BORO,141.9,2,84263,83,111.4,9,88646,83
D. K-8 / 751 +,CAMDEN,330,BERLIN BORO,96.9,19,54778,3,113.3,8,57699,6
D. K-8 / 751 +,CAMDEN,1780,GLOUCESTER TWP,83.8,35,84850,84,78.9,40,69188,48
D. K-8 / 751 +,CAMDEN,4590,RUNNEMEDE BORO,79.7,43,55700,5,77.5,42,58800,8
D. K-8 / 751 +,CAMDEN,5080,STRATFORD BORO,70.4,63,60517,16,73.3,57,62917,26
D. K-8 / 751 +,CAMDEN,5400,VOORHEES TWP,81,40,89290,86,77,45,92017,86
D. K-8 / 751 +,CAPE MAY,5340,UPPER TWP,74.8,55,69365,47,76.5,48,60861,17
D. K-8 / 751 +,CUMBERLAND,5300,UPPER DEERFIELD TWP,77,48,69613,51,79.7,38,72502,62
D. K-8 / 751 +,GLOUCESTER,2750,LOGAN TWP,112.9,10,67214,41,93.2,21,69032,46
D. K-8 / 751 +,HUDSON,1850,GUTTENBERG TOWN,135.5,3,70642,54,132.8,4,71183,57
D. K-8 / 751 +,HUNTERDON,920,CLINTON TWP,54.7,86,65673,35,56,82,70442,55
D. K-8 / 751 +,HUNTERDON,1510,FLEMINGTON-RARITAN REG,83.6,36,76758,64,81,35,78628,70
D. K-8 / 751 +,HUNTERDON,4350,READINGTON TWP,69.6,67,68848,44,66.1,67,68435,45
D. K-8 / 751 +,MIDDLESEX,2370,JAMESBURG BORO,83.3,37,65652,34,104.8,11,59108,11
D. K-8 / 751 +,MONMOUTH,945,COLTS NECK TWP,66.9,70,65115,30,57,81,63880,29
D. K-8 / 751 +,MONMOUTH,1260,EATONTOWN BORO,59.7,82,73534,58,61,76,76339,66
D. K-8 / 751 +,MONMOUTH,1440,FAIR HAVEN BORO,76.6,50,58037,10,76.7,46,58037,7
D. K-8 / 751 +,MONMOUTH,1640,FREEHOLD BORO,96.7,20,50553,1,110.5,10,49500,1
D. K-8 / 751 +,MONMOUTH,1660,FREEHOLD TWP,74.9,54,66830,38,72.8,59,68172,44
D. K-8 / 751 +,MONMOUTH,2290,HOWELL TWP,76.5,51,96775,87,75.1,50,69852,51
D. K-8 / 751 +,MONMOUTH,2720,LITTLE SILVER BORO,69.6,67,59700,14,80.1,37,59200,12
D. K-8 / 751 +,MONMOUTH,2920,MANALAPAN-ENGLISHTOWN REG,86,29,78978,70,85.8,28,67288,42
D. K-8 / 751 +,MONMOUTH,3030,MARLBORO TWP,85.2,33,70855,55,88.6,25,73465,64
D. K-8 / 751 +,MONMOUTH,3200,MILLSTONE TWP,87.8,26,63895,27,84.2,29,65380,36
D. K-8 / 751 +,MONMOUTH,4360,RED BANK BORO,86.2,28,58835,11,103.4,12,60435,16
D. K-8 / 751 +,MONMOUTH,4570,RUMSON BORO,99.4,17,68410,43,90.2,24,69650,50
D. K-8 / 751 +,MONMOUTH,5185,TINTON FALLS,86.6,27,67054,39,77.3,43,61774,22
