GROUP,CONAME,DIST,DISTNAME,STRAT0016,RK0016,SALT0016,RKSAL0016,STRAT0116,RK0116,SALT0116,RKSAL0116
C. K-8 / 401 - 750,OCEAN,2500,LAKEHURST BORO,13,20,53481,15,12.9,15,51799,4
C. K-8 / 401 - 750,PASSAIC,420,BLOOMINGDALE BORO,12.2,31,59810,40,12.3,25,62871,51
C. K-8 / 401 - 750,PASSAIC,3640,NORTH HALEDON BORO,13.6,8,57610,33,13.6,9,60670,40
C. K-8 / 401 - 750,SALEM,60,ALLOWAY TWP,12.7,22,56321,28,13.3,10,60412,39
C. K-8 / 401 - 750,SOMERSET,240,BEDMINSTER TWP,10.1,58,62365,53,10.3,56,61690,45
C. K-8 / 401 - 750,SOMERSET,4850,SOUTH BOUND BROOK,13.6,8,63338,55,13.2,11,67678,60
C. K-8 / 401 - 750,SOMERSET,5540,WATCHUNG BORO,13.1,16,56023,25,12.7,17,57750,31
C. K-8 / 401 - 750,SUSSEX,90,ANDOVER REG,11,45,61458,49,11.3,41,61317,42
C. K-8 / 401 - 750,SUSSEX,1560,FRANKFORD TWP,9.9,60,77150,64,9.4,64,78310,64
C. K-8 / 401 - 750,SUSSEX,1570,FRANKLIN BORO,11.4,39,53520,16,10.9,46,55710,21
C. K-8 / 401 - 750,SUSSEX,1800,GREEN TWP,13.5,11,68036,60,12.4,23,65037,56
C. K-8 / 401 - 750,UNION,1710,GARWOOD BORO,13.6,8,54166,17,14.3,5,54083,14
C. K-8 / 401 - 750,WARREN,30,ALLAMUCHY TWP,12.1,32,49200,3,11.8,35,49835,2
D. K-8 / 751 +,,,K-8 Average,12.4,,58809,,12.2,,59255,
D. K-8 / 751 +,ATLANTIC,10,ABSECON CITY,12.7,47,65867,73,12.4,45,69987,76
D. K-8 / 751 +,ATLANTIC,570,BRIGANTINE CITY,11.6,75,78959,85,11.1,75,78371,84
D. K-8 / 751 +,ATLANTIC,1690,GALLOWAY TWP,11.4,77,56833,30,11.1,75,56670,22
D. K-8 / 751 +,ATLANTIC,1940,HAMILTON TWP,13,36,51554,4,12.2,52,49808,2
D. K-8 / 751 +,ATLANTIC,2680,LINWOOD CITY,11,81,57062,31,10.9,78,59993,42
D. K-8 / 751 +,ATLANTIC,3720,NORTHFIELD CITY,13.2,30,55982,23,12.7,36,57703,31
D. K-8 / 751 +,ATLANTIC,4800,SOMERS POINT CITY,10.5,84,51620,5,10.7,80,55920,17
D. K-8 / 751 +,ATLANTIC,5350,VENTNOR CITY,12.1,59,75917,82,11.8,61,77826,83
D. K-8 / 751 +,BERGEN,40,ALLENDALE BORO,15.1,4,65075,69,14.3,7,65075,73
D. K-8 / 751 +,BERGEN,930,CLOSTER BORO,13.8,17,78244,84,12.6,40,82558,85
D. K-8 / 751 +,BERGEN,1230,EAST RUTHERFORD BORO,12.2,57,79140,86,12.4,45,86624,86
D. K-8 / 751 +,BERGEN,1470,FAIRVIEW BORO,16.2,1,55175,19,16.9,1,54375,11
D. K-8 / 751 +,BERGEN,1580,FRANKLIN LAKES BORO,10.2,85,56125,26,10,84,62896,62
D. K-8 / 751 +,BERGEN,2180,HILLSDALE BORO,13.7,20,62728,64,13.5,15,61190,52
D. K-8 / 751 +,BERGEN,2710,LITTLE FERRY BORO,13.8,17,60314,49,14.6,5,63339,67
D. K-8 / 751 +,BERGEN,3060,MAYWOOD BORO,14.3,10,52500,11,14,8,53201,9
D. K-8 / 751 +,BERGEN,3330,MONTVALE BORO,12.9,38,59495,43,12.3,50,62247,58
D. K-8 / 751 +,BERGEN,3760,OAKLAND BORO,14,14,61890,60,13.9,9,66025,74
D. K-8 / 751 +,BERGEN,3850,OLD TAPPAN BORO,12,61,67770,78,12.2,52,74264,79
D. K-8 / 751 +,BERGEN,4430,RIVER VALE TWP,13.9,16,71380,80,13.7,10,75995,81
D. K-8 / 751 +,BERGEN,5330,UPPER SADDLE RIVER BORO,13.6,21,59500,44,13.3,18,57000,25
D. K-8 / 751 +,BERGEN,5880,WOODCLIFF LAKE BORO,13.2,30,59046,40,11.6,66,57867,34
D. K-8 / 751 +,BERGEN,5920,WYCKOFF TWP,13.3,26,63555,65,12.7,36,61915,55
D. K-8 / 751 +,BURLINGTON,1280,EDGEWATER PARK TWP,12.5,51,60115,47,12.8,34,58940,40
D. K-8 / 751 +,BURLINGTON,1420,EVESHAM TWP,12,61,55500,22,12.9,30,57700,30
D. K-8 / 751 +,BURLINGTON,2850,LUMBERTON TWP,14.9,6,60475,50,14.9,3,61100,50
D. K-8 / 751 +,BURLINGTON,3080,MEDFORD TWP,15.1,4,66188,75,14.9,3,64396,71
D. K-8 / 751 +,BURLINGTON,3430,MOUNT HOLLY TWP,11.4,77,77848,83,11.2,72,63548,68
D. K-8 / 751 +,BURLINGTON,3440,MOUNT LAUREL TWP,12.8,41,61575,59,12.8,34,61500,53
D. K-8 / 751 +,BURLINGTON,4740,SHAMONG TWP,13.5,22,60477,51,13.1,23,61144,51
D. K-8 / 751 +,BURLINGTON,4930,SOUTHAMPTON TWP,11.6,75,57425,32,11.2,72,58200,38
D. K-8 / 751 +,BURLINGTON,5130,TABERNACLE TWP,13.3,26,60709,54,12.7,36,58045,36
