GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,105,54,0.007,78,45,0.005,105,64,0.007
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,98,53,0.006,303,62,0.021,41,34,0.003
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,6,7,0.000,11,10,0.001,25,19,0.002
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,23,23,0.001,7,6,0.000,17,12,0.001
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,24,24,0.001,13,12,0.001,25,19,0.002
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,21,21,0.001,44,31,0.003,43,35,0.003
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,53,40,0.005,13,12,0.001,32,26,0.002
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,4,4,0.000,27,20,0.003,21,16,0.002
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,149,61,0.009,170,58,0.010,29,22,0.002
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,135,59,0.008,73,41,0.005,74,55,0.004
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,64,47,0.005,61,38,0.005,56,47,0.005
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,160,62,0.009,305,63,0.016,80,58,0.004
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,55,42,0.004,12,11,0.001,66,52,0.004
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,41,33,0.003,66,40,0.005,57,48,0.005
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,107,55,0.008,90,51,0.007,40,33,0.003
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,44,34,0.002,26,18,0.001,57,48,0.003
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,122,58,0.008,151,55,0.010,74,55,0.005
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,7,9,0.001,3,1,0.000,26,21,0.002
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,30,27,0.002,26,18,0.002,32,26,0.002
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,3,2,0.000,,,0.000,1,1,0.000
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,15,13,0.001,3,1,0.000,16,9,0.001
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,,,0.000,,,0.000,9,4,0.001
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,24,24,0.002,14,14,0.001,21,16,0.002
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,146,60,0.009,33,28,0.002,29,22,0.002
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,44,34,0.004,20,16,0.002,15,7,0.001
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,95,52,0.006,49,32,0.003,62,51,0.004
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,57,43,0.004,75,44,0.006,88,60,0.007
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,27,26,0.002,57,36,0.005,67,53,0.006
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,22,22,0.001,41,30,0.002,33,28,0.002
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,39,31,0.003,73,41,0.005,38,32,0.003
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,16,14,0.001,32,26,0.002,16,9,0.001
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,20,18,0.001,7,6,0.001,24,18,0.002
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,62,45,0.005,32,26,0.002,43,35,0.003
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,80,50,0.006,74,43,0.006,45,41,0.003
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,6,7,0.000,4,3,0.000,14,5,0.001
C. K-8 / 401 - 750,,,1. State average - Operating Type K-8,37,,,37,,,37,,
C. K-8 / 401 - 750,,,2. State median - Operating Type K-8,37,,,35,,,37,,
C. K-8 / 401 - 750,,,5. State average - All operating types,38,,,37,,,36,,
C. K-8 / 401 - 750,,,6. State median - All operating types,32,,,31,,,34,,
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,,,0.000,,,0.000,31,20,0.002
C. K-8 / 401 - 750,ATLANTIC,1540,FOLSOM BORO,29,26,0.003,18,13,0.002,37,29,0.003
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,80,53,0.005,263,63,0.016,114,62,0.006
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,15,12,0.001,20,14,0.002,16,10,0.001
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,19,15,0.001,29,22,0.002,25,15,0.002
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,42,30,0.003,84,53,0.006,47,41,0.003
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,131,60,0.007,101,57,0.006,103,61,0.006
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,,,0.000,,,0.000,37,29,0.003
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,58,43,0.004,41,33,0.003,35,25,0.002
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,48,35,0.004,67,47,0.005,61,49,0.005
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,28,25,0.002,58,42,0.005,68,51,0.005
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,97,57,0.008,90,56,0.007,52,47,0.004
