GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,e21,E11,E31
C. K-8 / 401 - 750,HUNTERDON,2220,HOLLAND TWP,14175,51,13743,47,14649,49,657,663,640
C. K-8 / 401 - 750,HUNTERDON,2450,KINGWOOD TWP,12712,32,13057,40,14314,44,428,448,432
C. K-8 / 401 - 750,HUNTERDON,2600,LEBANON TWP,14658,55,14070,50,16271,60,762,772,744
C. K-8 / 401 - 750,HUNTERDON,5180,TEWKSBURY TWP,13763,47,13797,48,15613,54,749,777,712
C. K-8 / 401 - 750,HUNTERDON,5270,UNION TWP,13560,45,13489,44,15743,57,514,533,495
C. K-8 / 401 - 750,MIDDLESEX,970,CRANBURY TWP,16070,63,15919,63,17137,61,602,600,574
C. K-8 / 401 - 750,MIDDLESEX,2370,JAMESBURG BORO,10577,7,9687,2,9727,1,645,661,668
C. K-8 / 401 - 750,MIDDLESEX,3220,MILLTOWN BORO,11608,16,10666,13,11276,13,669,664,680
C. K-8 / 401 - 750,MONMOUTH,270,BELMAR BORO,12652,30,12420,28,12580,26,561,559,571
C. K-8 / 401 - 750,MONMOUTH,560,BRIELLE BORO,9982,4,9692,3,11109,10,668,727,616
C. K-8 / 401 - 750,MONMOUTH,3830,OCEANPORT BORO,12942,36,12658,35,13597,36,653,673,647
C. K-8 / 401 - 750,MONMOUTH,4770,SHREWSBURY BORO,13283,39,12617,33,13891,40,491,508,480
C. K-8 / 401 - 750,MONMOUTH,5230,UNION BEACH,12293,22,12015,21,11061,8,735,750,860
C. K-8 / 401 - 750,MONMOUTH,5640,WEST LONG BRANCH BORO,12937,35,13053,39,14599,48,604,612,592
C. K-8 / 401 - 750,MORRIS,460,BOONTON TWP,11761,18,12259,26,12562,25,513,532,518
C. K-8 / 401 - 750,MORRIS,3090,MENDHAM BORO,12493,27,11941,20,11865,19,692,671,707
C. K-8 / 401 - 750,MORRIS,3380,MORRIS PLAINS BORO,13396,42,13085,41,13203,31,633,630,666
C. K-8 / 401 - 750,MORRIS,4480,ROCKAWAY BORO,9946,3,9676,1,10608,3,666,667,664
