GROUP,CONAME,DIST,DISTNAME,PP13,RK13,PCT13,SBA3,PP23,RK23,PCT23,SBB3,PP33,RK33,PCT33,SBC3
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,6828,11,0.647,0.944,7250,19,0.669,0.954,6405,4,0.557,0.876
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,9337,48,0.577,0.939,8475,45,0.562,0.933,9515,55,0.548,0.910
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,6873,12,0.546,0.920,7404,23,0.568,0.946,7974,28,0.571,0.950
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,9419,52,0.588,0.959,8498,46,0.588,0.983,8617,44,0.607,0.989
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,7179,19,0.560,0.969,7317,21,0.555,0.965,7179,18,0.547,0.970
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,7166,18,0.621,0.978,6855,12,0.623,0.979,7090,14,0.620,0.970
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,9353,50,0.559,0.950,9593,57,0.575,0.956,10216,60,0.599,0.961
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,8207,38,0.575,0.908,8383,42,0.602,0.946,8286,38,0.623,0.952
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,7939,29,0.618,0.966,7376,22,0.566,0.932,7117,17,0.554,0.915
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,6394,6,0.482,0.942,5752,3,0.474,0.928,6493,6,0.497,0.931
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,7598,22,0.582,0.966,7824,33,0.600,0.978,7460,23,0.583,0.975
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,7913,27,0.593,0.927,7570,28,0.595,0.948,8114,31,0.580,0.937
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,6972,16,0.598,0.968,6890,14,0.598,0.968,8049,30,0.592,0.975
C. K-8 / 401 - 750,,,1. State average - Operating Type K-8,7364,,,,7260,,,,7630,,,
C. K-8 / 401 - 750,,,2. State median - Operating Type K-8,7396,,,,7365,,,,7647,,,
C. K-8 / 401 - 750,,,5. State average - All operating types,7643,,,,7538,,,,7825,,,
C. K-8 / 401 - 750,,,6. State median - All operating types,7319,,,,7312,,,,7567,,,
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,8590,55,0.583,0.954,8039,49,0.558,0.963,7969,42,0.550,0.969
C. K-8 / 401 - 750,ATLANTIC,1540,FOLSOM BORO,5165,1,0.551,0.950,5537,2,0.535,0.914,5895,3,0.521,0.935
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,8702,56,0.537,0.960,9712,64,0.589,0.974,10073,64,0.543,0.958
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,6916,22,0.631,0.968,7092,28,0.631,0.971,7595,30,0.631,0.975
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,8243,53,0.588,0.972,7716,42,0.575,0.961,8506,49,0.600,0.960
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,7871,44,0.526,0.918,8041,50,0.531,0.925,9713,62,0.562,0.935
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,10442,65,0.533,0.934,8191,52,0.510,0.917,9110,54,0.496,0.930
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,7847,42,0.623,0.967,8009,48,0.628,0.974,8092,45,0.623,0.975
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,6552,13,0.469,0.957,9247,63,0.627,0.960,9314,58,0.596,0.966
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,7707,40,0.609,0.951,7481,36,0.599,0.947,7879,41,0.586,0.939
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,6501,11,0.560,0.923,6712,20,0.543,0.913,7248,25,0.553,0.949
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,7251,30,0.584,0.969,6978,25,0.570,0.930,6955,19,0.575,0.945
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,8057,49,0.614,0.961,8744,57,0.619,0.969,7856,40,0.631,0.975
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,8021,48,0.628,0.986,7233,30,0.626,0.976,7724,37,0.644,0.986
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,6972,24,0.603,0.949,6251,10,0.603,0.962,6428,10,0.586,0.941
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,6377,9,0.591,0.941,6452,14,0.612,0.955,6866,17,0.589,0.952
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,6603,14,0.572,0.947,6668,18,0.608,0.970,6949,18,0.599,0.965
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,9569,64,0.614,0.930,8740,56,0.590,0.933,8635,50,0.580,0.927
